name,episode,season,imdb_url
Krusty Gets Kancelled,81,4,https://www.imdb.com/title/tt0701148/ratings?ref_=tt_ov_rt
Homer's Barbershop Quartet,82,5,https://www.imdb.com/title/tt0701121/ratings?ref_=tt_ov_rt
Cape Feare,83,5,https://www.imdb.com/title/tt0701080/ratings?ref_=tt_ov_rt
Homer Goes to College,84,5,https://www.imdb.com/title/tt0773645/ratings?ref_=tt_ov_rt
Rosebud,85,5,https://www.imdb.com/title/tt0701202/ratings?ref_=tt_ov_rt
Treehouse of Horror IV,86,5,https://www.imdb.com/title/tt0701279/ratings?ref_=tt_ov_rt
Marge on the Lam,87,5,https://www.imdb.com/title/tt0701172/ratings?ref_=tt_ov_rt
Bart's Inner Child,88,5,https://www.imdb.com/title/tt0701066/ratings?ref_=tt_ov_rt
Boy-Scoutz 'n the Hood,89,5,https://www.imdb.com/title/tt0701072/ratings?ref_=tt_ov_rt
The Last Temptation of Homer,90,5,https://www.imdb.com/title/tt0701246/ratings?ref_=tt_ov_rt
"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",91,5,https://www.imdb.com/title/tt0701040/ratings?ref_=tt_ov_rt
Homer the Vigilante,92,5,https://www.imdb.com/title/tt0701117/ratings?ref_=tt_ov_rt
Bart Gets Famous,93,5,https://www.imdb.com/title/tt0701055/ratings?ref_=tt_ov_rt
Homer and Apu,94,5,https://www.imdb.com/title/tt0701112/ratings?ref_=tt_ov_rt
Lisa vs. Malibu Stacy,95,5,https://www.imdb.com/title/tt0701159/ratings?ref_=tt_ov_rt
Deep Space Homer,96,5,https://www.imdb.com/title/tt0701087/ratings?ref_=tt_ov_rt
Homer Loves Flanders,97,5,https://www.imdb.com/title/tt0773646/ratings?ref_=tt_ov_rt
Bart Gets an Elephant,98,5,https://www.imdb.com/title/tt0777148/ratings?ref_=tt_ov_rt
Burns' Heir,99,5,https://www.imdb.com/title/tt0777149/ratings?ref_=tt_ov_rt
Sweet Seymour Skinner's Baadasssss Song,100,5,https://www.imdb.com/title/tt0777150/ratings?ref_=tt_ov_rt
The Boy Who Knew Too Much,101,5,https://www.imdb.com/title/tt0778453/ratings?ref_=tt_ov_rt
Lady Bouvier's Lover,102,5,https://www.imdb.com/title/tt0763033/ratings?ref_=tt_ov_rt
Secrets of a Successful Marriage,103,5,https://www.imdb.com/title/tt0778452/ratings?ref_=tt_ov_rt
Bart of Darkness,104,6,https://www.imdb.com/title/tt0763026/ratings?ref_=tt_ov_rt
Lisa's Rival,105,6,https://www.imdb.com/title/tt0701162/ratings?ref_=tt_ov_rt
Another Simpsons Clip Show,106,6,https://www.imdb.com/title/tt0701053/ratings?ref_=tt_ov_rt
Itchy & Scratchy Land,107,6,https://www.imdb.com/title/tt0778449/ratings?ref_=tt_ov_rt
Sideshow Bob Roberts,108,6,https://www.imdb.com/title/tt0701207/ratings?ref_=tt_ov_rt
Treehouse of Horror V,109,6,https://www.imdb.com/title/tt0701281/ratings?ref_=tt_ov_rt
Bart's Girlfriend,110,6,https://www.imdb.com/title/tt0701065/ratings?ref_=tt_ov_rt
Lisa on Ice,111,6,https://www.imdb.com/title/tt0778450/ratings?ref_=tt_ov_rt
Homer Badman,112,6,https://www.imdb.com/title/tt0701109/ratings?ref_=tt_ov_rt
Grampa vs. Sexual Inadequacy,113,6,https://www.imdb.com/title/tt0778448/ratings?ref_=tt_ov_rt
Fear of Flying,114,6,https://www.imdb.com/title/tt0701097/ratings?ref_=tt_ov_rt
Homer the Great,115,6,https://www.imdb.com/title/tt0701115/ratings?ref_=tt_ov_rt
And Maggie Makes Three,116,6,https://www.imdb.com/title/tt0757016/ratings?ref_=tt_ov_rt
Bart's Comet,117,6,https://www.imdb.com/title/tt0778447/ratings?ref_=tt_ov_rt
Homie the Clown,118,6,https://www.imdb.com/title/tt0701128/ratings?ref_=tt_ov_rt
Bart vs. Australia,119,6,https://www.imdb.com/title/tt0778446/ratings?ref_=tt_ov_rt
Homer vs. Patty and Selma,120,6,https://www.imdb.com/title/tt0701119/ratings?ref_=tt_ov_rt
A Star is Burns,121,6,https://www.imdb.com/title/tt0701045/ratings?ref_=tt_ov_rt
Lisa's Wedding,122,6,https://www.imdb.com/title/tt0701165/ratings?ref_=tt_ov_rt
Two Dozen and One Greyhounds,123,6,https://www.imdb.com/title/tt0701289/ratings?ref_=tt_ov_rt
The PTA Disbands,124,6,https://www.imdb.com/title/tt0778454/ratings?ref_=tt_ov_rt
'Round Springfield,125,6,https://www.imdb.com/title/tt0701041/ratings?ref_=tt_ov_rt
The Springfield Connection,126,6,https://www.imdb.com/title/tt0778455/ratings?ref_=tt_ov_rt
Lemon of Troy,127,6,https://www.imdb.com/title/tt0757018/ratings?ref_=tt_ov_rt
Who Shot Mr. Burns? (Part One),128,6,https://www.imdb.com/title/tt0701294/ratings?ref_=tt_ov_rt
Who Shot Mr. Burns? (Part Two),129,7,https://www.imdb.com/title/tt0701295/ratings?ref_=tt_ov_rt
Radioactive Man,130,7,https://www.imdb.com/title/tt0701201/ratings?ref_=tt_ov_rt
Home Sweet Homediddly-Dum-Doodily,131,7,https://www.imdb.com/title/tt0701108/ratings?ref_=tt_ov_rt
Bart Sells His Soul,132,7,https://www.imdb.com/title/tt0763025/ratings?ref_=tt_ov_rt
Lisa the Vegetarian,133,7,https://www.imdb.com/title/tt0701158/ratings?ref_=tt_ov_rt
Treehouse of Horror VI,134,7,https://www.imdb.com/title/tt0177842/ratings?ref_=tt_ov_rt
King-Size Homer,135,7,https://www.imdb.com/title/tt0701144/ratings?ref_=tt_ov_rt
Mother Simpson,136,7,https://www.imdb.com/title/tt0701182/ratings?ref_=tt_ov_rt
Sideshow Bob's Last Gleaming,137,7,https://www.imdb.com/title/tt0701208/ratings?ref_=tt_ov_rt
The Simpsons 138th Episode Spectacular,138,7,https://www.imdb.com/title/tt0701261/ratings?ref_=tt_ov_rt
Marge Be Not Proud,139,7,https://www.imdb.com/title/tt0701168/ratings?ref_=tt_ov_rt
Team Homer,140,7,https://www.imdb.com/title/tt0779675/ratings?ref_=tt_ov_rt
Two Bad Neighbors,141,7,https://www.imdb.com/title/tt0779680/ratings?ref_=tt_ov_rt
Scenes from the Class Struggle in Springfield,142,7,https://www.imdb.com/title/tt0779674/ratings?ref_=tt_ov_rt
Bart the Fink,143,7,https://www.imdb.com/title/tt0701058/ratings?ref_=tt_ov_rt
Lisa the Iconoclast,144,7,https://www.imdb.com/title/tt0701155/ratings?ref_=tt_ov_rt
Homer the Smithers,145,7,https://www.imdb.com/title/tt0779667/ratings?ref_=tt_ov_rt
The Day the Violence Died,146,7,https://www.imdb.com/title/tt0701234/ratings?ref_=tt_ov_rt
A Fish Called Selma,147,7,https://www.imdb.com/title/tt0701043/ratings?ref_=tt_ov_rt
Bart on the Road,148,7,https://www.imdb.com/title/tt0701057/ratings?ref_=tt_ov_rt
22 Short Films About Springfield,149,7,https://www.imdb.com/title/tt0701186/ratings?ref_=tt_ov_rt
"Raging Abe Simpson and His Grumbling Grandson in The Curse of the Flying Hellfish""""",150,7,https://www.imdb.com/title/tt0778451/ratings?ref_=tt_ov_rt
Much Apu About Nothing,151,7,https://www.imdb.com/title/tt0774432/ratings?ref_=tt_ov_rt
Homerpalooza,152,7,https://www.imdb.com/title/tt0701127/ratings?ref_=tt_ov_rt
Summer of 4 Ft. 2,153,7,https://www.imdb.com/title/tt0701219/ratings?ref_=tt_ov_rt
Treehouse of Horror VII,154,8,https://www.imdb.com/title/tt0779678/ratings?ref_=tt_ov_rt
You Only Move Twice,155,8,https://www.imdb.com/title/tt0701298/ratings?ref_=tt_ov_rt
The Homer They Fall,156,8,https://www.imdb.com/title/tt0701243/ratings?ref_=tt_ov_rt
"Burns, Baby Burns",157,8,https://www.imdb.com/title/tt0701078/ratings?ref_=tt_ov_rt
Bart After Dark,158,8,https://www.imdb.com/title/tt0763023/ratings?ref_=tt_ov_rt
A Milhouse Divided,159,8,https://www.imdb.com/title/tt0779664/ratings?ref_=tt_ov_rt
Lisa's Date with Density,160,8,https://www.imdb.com/title/tt0779669/ratings?ref_=tt_ov_rt
Hurricane Neddy,161,8,https://www.imdb.com/title/tt0701131/ratings?ref_=tt_ov_rt
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),162,8,https://www.imdb.com/title/tt0701094/ratings?ref_=tt_ov_rt
The Springfield Files,163,8,https://www.imdb.com/title/tt0701263/ratings?ref_=tt_ov_rt
The Twisted World of Marge Simpson,164,8,https://www.imdb.com/title/tt0701266/ratings?ref_=tt_ov_rt
Mountain of Madness,165,8,https://www.imdb.com/title/tt0779671/ratings?ref_=tt_ov_rt
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,166,8,https://www.imdb.com/title/tt0757021/ratings?ref_=tt_ov_rt
The Itchy & Scratchy & Poochie Show,167,8,https://www.imdb.com/title/tt0701245/ratings?ref_=tt_ov_rt
Homer's Phobia,168,8,https://www.imdb.com/title/tt0701126/ratings?ref_=tt_ov_rt
Brother from Another Series,169,8,https://www.imdb.com/title/tt0701227/ratings?ref_=tt_ov_rt
"My Sister, My Sitter",170,8,https://www.imdb.com/title/tt0779672/ratings?ref_=tt_ov_rt
Homer vs. the Eighteenth Amendment,171,8,https://www.imdb.com/title/tt0701120/ratings?ref_=tt_ov_rt
Grade School Confidential,172,8,https://www.imdb.com/title/tt0779666/ratings?ref_=tt_ov_rt
The Canine Mutiny,173,8,https://www.imdb.com/title/tt0701229/ratings?ref_=tt_ov_rt
The Old Man and the Lisa,174,8,https://www.imdb.com/title/tt0701253/ratings?ref_=tt_ov_rt
In Marge We Trust,175,8,https://www.imdb.com/title/tt0701136/ratings?ref_=tt_ov_rt
Homer's Enemy,176,8,https://www.imdb.com/title/tt0701122/ratings?ref_=tt_ov_rt
The Simpsons Spin-Off Showcase,177,8,https://www.imdb.com/title/tt0701262/ratings?ref_=tt_ov_rt
The Secret War of Lisa Simpson,178,8,https://www.imdb.com/title/tt0701259/ratings?ref_=tt_ov_rt
The City of New York vs. Homer Simpson,179,9,https://www.imdb.com/title/tt0701230/ratings?ref_=tt_ov_rt
The Principal and the Pauper,180,9,https://www.imdb.com/title/tt0701257/ratings?ref_=tt_ov_rt
Lisa's Sax,181,9,https://www.imdb.com/title/tt0701163/ratings?ref_=tt_ov_rt
Treehouse of Horror VIII,182,9,https://www.imdb.com/title/tt0779679/ratings?ref_=tt_ov_rt
The Cartridge Family,183,9,https://www.imdb.com/title/tt0763039/ratings?ref_=tt_ov_rt
Bart Star,184,9,https://www.imdb.com/title/tt0701056/ratings?ref_=tt_ov_rt
The Two Mrs. Nahasapeemapetilons,185,9,https://www.imdb.com/title/tt0701267/ratings?ref_=tt_ov_rt
Lisa the Skeptic,186,9,https://www.imdb.com/title/tt0701156/ratings?ref_=tt_ov_rt
Realty Bites,187,9,https://www.imdb.com/title/tt0779673/ratings?ref_=tt_ov_rt
Miracle on Evergreen Terrace,188,9,https://www.imdb.com/title/tt0701176/ratings?ref_=tt_ov_rt
"All Singing, All Dancing",189,9,https://www.imdb.com/title/tt0701050/ratings?ref_=tt_ov_rt
Bart Carny,190,9,https://www.imdb.com/title/tt0701054/ratings?ref_=tt_ov_rt
The Joy of Sect,191,9,https://www.imdb.com/title/tt0779676/ratings?ref_=tt_ov_rt
Das Bus,192,9,https://www.imdb.com/title/tt0701085/ratings?ref_=tt_ov_rt
The Last Temptation of Krust,193,9,https://www.imdb.com/title/tt0701247/ratings?ref_=tt_ov_rt
Dumbbell Indemnity,194,9,https://www.imdb.com/title/tt0701091/ratings?ref_=tt_ov_rt
Lisa the Simpson,195,9,https://www.imdb.com/title/tt0779668/ratings?ref_=tt_ov_rt
This Little Wiggy,196,9,https://www.imdb.com/title/tt0779677/ratings?ref_=tt_ov_rt
Simpson Tide,197,9,https://www.imdb.com/title/tt0701210/ratings?ref_=tt_ov_rt
The Trouble with Trillions,198,9,https://www.imdb.com/title/tt0701265/ratings?ref_=tt_ov_rt
Girly Edition,199,9,https://www.imdb.com/title/tt0779665/ratings?ref_=tt_ov_rt
Trash of the Titans,200,9,https://www.imdb.com/title/tt0701277/ratings?ref_=tt_ov_rt
King of the Hill,201,9,https://www.imdb.com/title/tt0701145/ratings?ref_=tt_ov_rt
Lost Our Lisa,202,9,https://www.imdb.com/title/tt0779670/ratings?ref_=tt_ov_rt
Natural Born Kissers,203,9,https://www.imdb.com/title/tt0763037/ratings?ref_=tt_ov_rt
Lard of the Dance,204,10,https://www.imdb.com/title/tt0701149/ratings?ref_=tt_ov_rt
The Wizard of Evergreen Terrace,205,10,https://www.imdb.com/title/tt0701270/ratings?ref_=tt_ov_rt
Bart the Mother,206,10,https://www.imdb.com/title/tt0781977/ratings?ref_=tt_ov_rt
Treehouse of Horror IX,207,10,https://www.imdb.com/title/tt0701280/ratings?ref_=tt_ov_rt
When You Dish Upon a Star,208,10,https://www.imdb.com/title/tt0701293/ratings?ref_=tt_ov_rt
D'oh-in' in the Wind,209,10,https://www.imdb.com/title/tt0701083/ratings?ref_=tt_ov_rt
"Lisa Gets an A""""",210,10,https://www.imdb.com/title/tt0769412/ratings?ref_=tt_ov_rt
"Homer Simpson in: Kidney Trouble""""",211,10,https://www.imdb.com/title/tt0769411/ratings?ref_=tt_ov_rt
Mayored to the Mob,212,10,https://www.imdb.com/title/tt0701174/ratings?ref_=tt_ov_rt
Viva Ned Flanders,213,10,https://www.imdb.com/title/tt0701290/ratings?ref_=tt_ov_rt
Wild Barts Can't Be Broken,214,10,https://www.imdb.com/title/tt0701296/ratings?ref_=tt_ov_rt
"Sunday, Cruddy Sunday",215,10,https://www.imdb.com/title/tt0701220/ratings?ref_=tt_ov_rt
Homer to the Max,216,10,https://www.imdb.com/title/tt0701118/ratings?ref_=tt_ov_rt
I'm with Cupid,217,10,https://www.imdb.com/title/tt0701135/ratings?ref_=tt_ov_rt
"Marge Simpson in: Screaming Yellow Honkers""""",218,10,https://www.imdb.com/title/tt0701170/ratings?ref_=tt_ov_rt
Make Room for Lisa,219,10,https://www.imdb.com/title/tt0781978/ratings?ref_=tt_ov_rt
Maximum Homerdrive,220,10,https://www.imdb.com/title/tt0781979/ratings?ref_=tt_ov_rt
Simpsons Bible Stories,221,10,https://www.imdb.com/title/tt0781980/ratings?ref_=tt_ov_rt
Mom and Pop Art,222,10,https://www.imdb.com/title/tt0701180/ratings?ref_=tt_ov_rt
"The Old Man and the C"" Student""",223,10,https://www.imdb.com/title/tt0701251/ratings?ref_=tt_ov_rt
Monty Can't Buy Me Love,224,10,https://www.imdb.com/title/tt0701181/ratings?ref_=tt_ov_rt
They Saved Lisa's Brain,225,10,https://www.imdb.com/title/tt0701272/ratings?ref_=tt_ov_rt
Thirty Minutes Over Tokyo,226,10,https://www.imdb.com/title/tt0701273/ratings?ref_=tt_ov_rt
Beyond Blunderdome,227,11,https://www.imdb.com/title/tt0701069/ratings?ref_=tt_ov_rt
Brother's Little Helper,228,11,https://www.imdb.com/title/tt0701075/ratings?ref_=tt_ov_rt
Guess Who's Coming to Criticize Dinner?,229,11,https://www.imdb.com/title/tt0701102/ratings?ref_=tt_ov_rt
Treehouse of Horror X,230,11,https://www.imdb.com/title/tt0701283/ratings?ref_=tt_ov_rt
E-I-E-I-D'oh,231,11,https://www.imdb.com/title/tt0701092/ratings?ref_=tt_ov_rt
"Hello Gutter, Hello Fadder",232,11,https://www.imdb.com/title/tt0701105/ratings?ref_=tt_ov_rt
Eight Misbehavin',233,11,https://www.imdb.com/title/tt0701093/ratings?ref_=tt_ov_rt
"Take My Wife, Sleaze",234,11,https://www.imdb.com/title/tt0701222/ratings?ref_=tt_ov_rt
Grift of the Magi,235,11,https://www.imdb.com/title/tt0701101/ratings?ref_=tt_ov_rt
Little Big Mom,236,11,https://www.imdb.com/title/tt0701166/ratings?ref_=tt_ov_rt
Faith Off,237,11,https://www.imdb.com/title/tt0701095/ratings?ref_=tt_ov_rt
The Mansion Family,238,11,https://www.imdb.com/title/tt0701250/ratings?ref_=tt_ov_rt
Saddlesore Galactica,239,11,https://www.imdb.com/title/tt0701203/ratings?ref_=tt_ov_rt
"Alone Again, Natura-Diddily",240,11,https://www.imdb.com/title/tt0701052/ratings?ref_=tt_ov_rt
Missionary: Impossible,241,11,https://www.imdb.com/title/tt0701177/ratings?ref_=tt_ov_rt
Pygmoelian,242,11,https://www.imdb.com/title/tt0767446/ratings?ref_=tt_ov_rt
Bart to the Future,243,11,https://www.imdb.com/title/tt0767439/ratings?ref_=tt_ov_rt
Days of Wine and D'oh'ses,244,11,https://www.imdb.com/title/tt0767441/ratings?ref_=tt_ov_rt
Kill the Alligator and Run,245,11,https://www.imdb.com/title/tt0701143/ratings?ref_=tt_ov_rt
Last Tap Dance in Springfield,246,11,https://www.imdb.com/title/tt0767444/ratings?ref_=tt_ov_rt
"It's a Mad, Mad, Mad, Mad Marge",247,11,https://www.imdb.com/title/tt0701138/ratings?ref_=tt_ov_rt
Behind the Laughter,248,11,https://www.imdb.com/title/tt0701068/ratings?ref_=tt_ov_rt
Treehouse of Horror XI,249,12,https://www.imdb.com/title/tt0763040/ratings?ref_=tt_ov_rt
A Tale of Two Springfields,250,12,https://www.imdb.com/title/tt0701049/ratings?ref_=tt_ov_rt
Insane Clown Poppy,251,12,https://www.imdb.com/title/tt0701137/ratings?ref_=tt_ov_rt
Lisa the Tree Hugger,252,12,https://www.imdb.com/title/tt0701157/ratings?ref_=tt_ov_rt
Homer vs. Dignity,253,12,https://www.imdb.com/title/tt0763031/ratings?ref_=tt_ov_rt
The Computer Wore Menace Shoes,254,12,https://www.imdb.com/title/tt0701231/ratings?ref_=tt_ov_rt
The Great Money Caper,255,12,https://www.imdb.com/title/tt0701241/ratings?ref_=tt_ov_rt
Skinner's Sense of Snow,256,12,https://www.imdb.com/title/tt0762498/ratings?ref_=tt_ov_rt
HOM��,257,12,https://www.imdb.com/title/tt0762497/ratings?ref_=tt_ov_rt
Pokey Mom,258,12,https://www.imdb.com/title/tt0701197/ratings?ref_=tt_ov_rt
Worst Episode Ever,259,12,https://www.imdb.com/title/tt0701297/ratings?ref_=tt_ov_rt
Tennis the Menace,260,12,https://www.imdb.com/title/tt0701223/ratings?ref_=tt_ov_rt
Day of the Jackanapes,261,12,https://www.imdb.com/title/tt0701086/ratings?ref_=tt_ov_rt
New Kids on the Blecch,262,12,https://www.imdb.com/title/tt0701190/ratings?ref_=tt_ov_rt
"Hungry, Hungry Homer",263,12,https://www.imdb.com/title/tt0701130/ratings?ref_=tt_ov_rt
Bye Bye Nerdie,264,12,https://www.imdb.com/title/tt0701079/ratings?ref_=tt_ov_rt
Simpson Safari,265,12,https://www.imdb.com/title/tt0701213/ratings?ref_=tt_ov_rt
Trilogy of Error,266,12,https://www.imdb.com/title/tt0701288/ratings?ref_=tt_ov_rt
I'm Goin' to Praiseland,267,12,https://www.imdb.com/title/tt0701133/ratings?ref_=tt_ov_rt
Children of a Lesser Clod,268,12,https://www.imdb.com/title/tt0765966/ratings?ref_=tt_ov_rt
Simpsons Tall Tales,269,12,https://www.imdb.com/title/tt0766139/ratings?ref_=tt_ov_rt
Treehouse of Horror XII,270,13,https://www.imdb.com/title/tt0701284/ratings?ref_=tt_ov_rt
The Parent Rap,271,13,https://www.imdb.com/title/tt0701255/ratings?ref_=tt_ov_rt
Homer the Moe,272,13,https://www.imdb.com/title/tt0701116/ratings?ref_=tt_ov_rt
A Hunka Hunka Burns in Love,273,13,https://www.imdb.com/title/tt0701044/ratings?ref_=tt_ov_rt
The Blunder Years,274,13,https://www.imdb.com/title/tt0701226/ratings?ref_=tt_ov_rt
She of Little Faith,275,13,https://www.imdb.com/title/tt0701206/ratings?ref_=tt_ov_rt
Brawl in the Family,276,13,https://www.imdb.com/title/tt0701074/ratings?ref_=tt_ov_rt
